translationKey,sourceValue,overrideValue
sms_invalid_request_response,"The sent message does not contain a valid request. Please start your message with 'REQUEST', 'RESEND MY VOUCHERS', 'VERIFY', 'REDEEM' or 'REGISTER' followed by a space and then the correct details for the specific request.","The sent message does not contain a valid request. Please start your message with 'REQUEST', 'RESEND MY VOUCHERS', 'VERIFY', 'REDEEM' or 'REGISTER' followed by a space and then the correct details for the specific request."
custom_header.reportsgenerictemplate_column_date5,{ReportsGenericViewerLabels:column_date5},{ReportsGenericViewerLabels:column_date5}
reports_depotagrodealer.Depot/Agro_Dealer,Depot/Agro Dealer,Depot/Agro Dealer
alert_error.invalid_gender,No gender specified.,No gender specified.
reportstableheading.Farmer_Registration_Answers,Farmer Registration Answers,Farmer Registration Answers
button_heading.comments,Show Comments,Show Comments
table_heading.test_data_generation,Test data generation,Test data generation
column.Paid_By,Paid By,Paid By
view_heading.order_management,Order Management,Order Management
confirm_subject.Archive_Question,Archive Question,Archive Question
column_heading.Product_Code,Product Code,Product Code
custom_header.reportsgenerictemplate_column_string6,{ReportsGenericViewerLabels:column_string6},{ReportsGenericViewerLabels:column_string6}
info.approved,Messages approved.,Messages approved.
alerts.common.generic,{message},{message}
confirm_body.archive_generic,Are you sure you would like to delete this record?,Are you sure you would like to delete this record?
info.Notes,Notes,Notes
view_heading.view_Location,View Location,View Location
column_heading.bags_av,# av,# av
button.Find_Farmer,Find Farmer,Find Farmer
custom_header.crop62,{DashboardUtil:uCrop62},{DashboardUtil:uCrop62}
stringgroup.GroupType,GroupType,GroupType
label.governmentPersonneleNumber,GovernmentPersonneleNumber,GovernmentPersonneleNumber
button_heading.Select_All_Orders,Select All Orders,Select All Orders
input_label.registered_on_farm,Registered on farm,Registered on farm
column_heading.farmer.identificationtype,identificationtype,identificationtype
alert.farmer.request.voucher_error,Something went wrong creating the Voucher,Something went wrong creating the Voucher
button.Submit_for_approval,Submit for approval,Submit for approval
column_heading.location_level_two,Level 2,Level 2
custom_header.crop44,{DashboardUtil:uCrop44},{DashboardUtil:uCrop44}
custom_header.crop72,{DashboardUtil:uCrop72},{DashboardUtil:uCrop72}
custom_header.crop67,{DashboardUtil:uCrop67},{DashboardUtil:uCrop67}
view_heading.Create_Voucher_Batch,Create Voucher Batch,Create Voucher Batch
custom_header.stock_current_cost_price,current_cost_price,current_cost_price
info.scheduled_function_config_triggered,Scheduled Function manually triggered,Scheduled Function manually triggered
table_title.identification_types,Identification types,Identification types
view_heading.manage_role_group_profile,Manage role group profile,Manage role group profile
column_heading.priority,Priority,Priority
column.stock_level,Stock level,Stock level
label.Enterprise_Ownership,Enterprise Ownership,Enterprise Ownership
view_heading.edit_season,Edit season,Edit season
label.Current_Cost_Price,Current Cost Price,Current Cost Price
alert.object.voucher_batch_start_end_date,Start date needs to be less than End date,Start date needs to be less than End date
button.Save,Save,Save
info.File_Name,File Name,File Name
label.Filter_By_Location,Filter By Location,Filter By Location
view_heading.web_User_Profile,Web User Profile,Web User Profile
view_heading.Form_Report,Form Report,Form Report
column_heading.region,Region,Region
label.desc,Desc,Desc
input.description,Description,Description
reports_allocationorbudgetksh.Allocation_or_Budget_(Ksh),Allocation or Budget (Ksh),Allocation or Budget (Ksh)
label.type,Type,Type
column_heading.Group_Price,Group Price,Group Price
alert.common.generic,{message},{message}
button.Create_langfileentries,Create langfileentries,Create langfileentries
view_heading.Search_For_Farmer_To_Verify,Search For Farmer To Verify,Search For Farmer To Verify
info.daily_registration,Please note that the report is updated daily at 22:00.,Please note that the report is updated daily at 22:00.
reportstableheading.Mobile_Users,Mobile Users,Mobile Users
label.national_id,National id,National id
column_heading.customer_mobile,Customer Mobile Number,Customer Mobile Number
alert.object.voucher_batch_invalid_end_date,End date needs to be greater than today's date,End date needs to be greater than today's date
button.Edit,Edit,Edit
button.Load_Translations,Load Translations,Load Translations
button.add,Add,Add
custom_header.crop49,{DashboardUtil:uCrop49},{DashboardUtil:uCrop49}
alert_error.heirerchy_setup,Please create full user hierarchy first,Please create full user hierarchy first
alert.voucher.not_found,Voucher {fCode} not found.,Voucher {fCode} not found.
menu_item.Farmers,Farmers,Farmers
confirm_subject.archive_location,Delete Location,Delete Location
custom_header.reportsgenerictemplate_column_int7,{ReportsGenericViewerLabels:column_int7},{ReportsGenericViewerLabels:column_int7}
custom_header.crop51,{DashboardUtil:uCrop51},{DashboardUtil:uCrop51}
label.Stock_Type,Stock Type,Stock Type
column_heading.status,Status,Status
view_heading.edit_farmer_crop,Edit farmer crop,Edit farmer crop
column.esub_status,Esub status,Esub status
label.Failed_Crops,Failed Enterprises,Failed Enterprises
column_heading.Order_Number,Order Number,Order Number
table.Questions,Questions,Questions
view_heading.manage_voucher_batch,Manage voucher batch,Manage voucher batch
view_heading.create_benefit_template,Create benefit template,Create benefit template
label.datetime_modified,Datetime modified,Datetime modified
column_heading.farmer.physicaladdress,physicaladdress,physicaladdress
enum.ORDER_STATUS.Paid,Paid,Paid
table_heading.crop_type,Enterprise type,Enterprise type
column.businessName,BusinessName,BusinessName
button.edit,Edit,Edit
view_heading.view_Voucher_Batch,View Voucher Batch,View Voucher Batch
view_heading.manage_action,Manage action,Manage action
reports_generic.Date_Created,Date Created,Date Created
custom_header.crop90,{DashboardUtil:uCrop90},{DashboardUtil:uCrop90}
table_heading.Types,Types,Types
view_heading.manage_agro_dealer_transaction,Manage agro dealer transaction,Manage agro dealer transaction
label.Bags_Subsidy_Amount,Bags Subsidy Amount,Bags Subsidy Amount
column.lipa_mpesa_number,Lipa mpesa number,Lipa mpesa number
view_heading.Redeem_Voucher,Redeem Voucher,Redeem Voucher
view_heading.Create_fertilizer_template,Create fertilizer template,Create fertilizer template
textfield.New_Comment,New Comment,New Comment
label.processed,Processed,Processed
column.crop,Crop,Crop
column.Preferred_Language,Preferred Language,Preferred Language
label.new_quantity,New quantity,New quantity
column_heading.order,Order,Order
reports_farmername.Farmer_Name,Farmer Name,Farmer Name
label.Voucher_Code,Voucher Code,Voucher Code
string_label.Last_Processed,Last Processed,Last Processed
result.config_value_not_set,Config value not set.,Config value not set.
custom_header.crop18,{DashboardUtil:uCrop18},{DashboardUtil:uCrop18}
alert.object.crop_active_vouchers,Crop in use by Voucher Templates/Batches,Crop in use by Voucher Templates/Batches
view_heading.view_group_members,View group members,View group members
custom_header.crop15,{DashboardUtil:uCrop15},{DashboardUtil:uCrop15}
string_label.parent_location,Parent location,Parent location
custom_header.crop100,{DashboardUtil:uCrop100},{DashboardUtil:uCrop100}
custom_header.crop4,{DashboardUtil:uCrop4},{DashboardUtil:uCrop4}
custom_header.crop50,{DashboardUtil:uCrop50},{DashboardUtil:uCrop50}
column_heading.date_created,Date created,Date created
custom_header.crop26,{DashboardUtil:uCrop26},{DashboardUtil:uCrop26}
column_heading.Translation,Translation,Translation
custom_header.crop47,{DashboardUtil:uCrop47},{DashboardUtil:uCrop47}
alert.object.created,{uObjectName} created.,{uObjectName} created.
button.Approve,Approve,Approve
label.end,End,End
reportsviewheading.Configurable_Forms,Configurable Forms,Configurable Forms
column_heading.Value_Chain,Value Chain,Value Chain
input_label.is_mobile_action,Is mobile action,Is mobile action
row_action.change_state,Change state,Change state
view_heading.Manage_Stock_At_Locations,Manage Stock At Locations,Manage Stock At Locations
alert.select_start_status.error,Please Select a Start Date,Please Select a Start Date
column_heading.farmer.postaladdress,postaladdress,postaladdress
custom_header.crop79,{DashboardUtil:uCrop19},{DashboardUtil:uCrop19}
table_heading.farmer_crop,Farmer crop,Farmer crop
button.Upload_heading_langfileentry,Upload heading langfileentry,Upload heading langfileentry
info.messageCommand,MessageCommand,MessageCommand
column.units,Units,Units
column_heading.location_level_nine,Level 9,Level 9
reportstableheading.Daily_Beneficiary_List_Report,Daily Beneficiary List Report,Daily Beneficiary List Report
string_label._Function_name,Function name,Function name
view_heading.Stock_Recon,Stock Reconciliation,Stock Reconciliation
label.Failed_Farmers,Failed Farmers,Failed Farmers
label.Report_Description,Report Description,Report Description
info.BitBucketInformation,BitBucketInformation,BitBucketInformation
view_heading.Question_Setup,Question Setup,Question Setup
column_heading.type,Type,Type
column_heading.Date_Paid,Date Paid,Date Paid
reportsviewheading.Set_Available_Object_Types,Set Available Object Types,Set Available Object Types
custom_header.crop59,{DashboardUtil:uCrop19},{DashboardUtil:uCrop19}
custom_header.crop91,{DashboardUtil:uCrop91},{DashboardUtil:uCrop91}
column.partial,Partial,Partial
alert_error.webuser.role_assigned,Role already assigned to Web User.,Role already assigned to Web User.
column.Last_Connected,Last Connected,Last Connected
column_heading.event,Event,Event
row_action.Unassign,Unassign,Unassign
button.Re-enroll,Re-enroll,Re-enroll
button.Files_with_errors,Files with errors,Files with errors
button.crops,Enterprises,Enterprises
column.middleName,MiddleName,MiddleName
custom_header.crop32,{DashboardUtil:uCrop32},{DashboardUtil:uCrop32}
column.GPS_lat,GPS lat,GPS lat
string_label.Re_Enrollment_Request,Re Enrollment Request,Re Enrollment Request
view_heading.view_action,View action,View action
column_heading.country,Country,Country
label.bag_cost,Unit cost,Unit cost
column.kephisCertNumber,KephisCertNumber,KephisCertNumber
button_label.Display_Report,Display Report,Display Report
label.Description,Description,Description
reportsviewheading.Assign_Report,Assign Report,Assign Report
alert.service_point_duplicate,A service point with this name exists already,A service point with this name exists already
custom_header.crop74,{DashboardUtil:uCrop74},{DashboardUtil:uCrop74}
label.Service_Point,Service Point,Service Point
custom_header.crop84,{DashboardUtil:uCrop84},{DashboardUtil:uCrop84}
column_heading.Created,Created,Created
alert.voucher.found,Voucher found.,Voucher found.
result.config_description_not_set,Config description not set.,Config description not set.
alert_error.invalid_lastname,No last name specified.,No last name specified.
confirm_subject.archive_farmer,Delete Farmer,Delete Farmer
custom_header.crop83,{DashboardUtil:uCrop83},{DashboardUtil:uCrop83}
reportstableheading.Reports,Reports,Reports
reports_subcounty.Sub_County,Sub County,Sub County
alert.error.farmer_not_18,Farmer needs to be at least 18 to be eligible for the programme.,Farmer needs to be at least 18 to be eligible for the programme.
reportsviewheading.Farmer_Registration_Report_By_County,Farmer Registration Report By County,Farmer Registration Report By County
column.lipaMpesaTillNumber,LipaMpesaTillNumber,LipaMpesaTillNumber
view_heading.create_crop,Create crop,Create crop
string_label.Name,Name,Name
custom_header.stock_current_cost_price,current_cost_price,current_cost_price
alert.error.farmer_not_18,Farmer needs to be at least 18 to be eligible for the programme.,Farmer needs to be at least 18 to be eligible for the programme.
label.location,Location,Location
button.Update_Dropdown_List,Update Dropdown List,Update Dropdown List
input.order,Order,Order
button.Actions,Actions,Actions
custom_header.crop80,{DashboardUtil:uCrop80},{DashboardUtil:uCrop80}
input.config_description,Config description,Config description
table_heading.voucher_category,Voucher category,Voucher category
custom_header.crop7,{DashboardUtil:uCrop7},{DashboardUtil:uCrop7}
sms.voucher_dealer_notification,"Dear {fAgroDealerName}, you have issued {fFarmerName} with {fUnitQuantity} {fUnits} of {fProductName} with a value of {fCurrency}{fAmount} from voucher code(s): {fVoucherCodes}.","Dear {fAgroDealerName}, you have issued {fFarmerName} with {fUnitQuantity} {fUnits} of {fProductName} with a value of {fCurrency}{fAmount} from voucher code(s): {fVoucherCodes}."
view_heading.Add_Fertilizer_To_Voucher_Template,Add Fertilizer To Voucher Template,Add Fertilizer To Voucher Template
button.Add_Config_Pair,Add Config Pair,Add Config Pair
alert_error.invalid_enterprisecategory,Please note the enterprise category is required.,Please note the enterprise category is required.
custom_header.crop71,{DashboardUtil:uCrop71},{DashboardUtil:uCrop71}
column_heading.farmer_name,Farmer Name,Farmer Name
column.role_group_name,Role group name,Role group name
view_heading.Edit_Config_Pair,Edit Config Pair,Edit Config Pair
table_heading.crop_type,Crop type,Crop type
label.gender,Gender,Gender
column_heading.object,Object,Object
button.Mobile_Users,Mobile Users,Mobile Users
button.send,Send,Send
column_heading.start,Start,Start
view_heading.Product_Aggregation_List,Product Aggregation List,Product Aggregation List
reports_crop.Crop,Enterprise,Enterprise
sms.voucher_redemption.cropvoucher_redeemed,"Dear {fFarmerName}, by redeeming voucher code {fVoucherCode} you have redeemed all voucher codes for your {fCrop} enterprise. Thank you - {fProviderName}.","Dear {fFarmerName}, by redeeming voucher code {fVoucherCode} you have redeemed all voucher codes for your {fCrop} enterprise. Thank you - {fProviderName}."
view_heading.farmer_Profile_-_SMS,Farmer Profile - SMS,Farmer Profile - SMS
alert.user_re-enrolling_not_exist,"Cannot re-enroll this user as it was never invited, please deselect 'Re-Enroll'.","Cannot re-enroll this user as it was never invited, please deselect 'Re-Enroll'."
custom_header.question_9,{Reportviewer:uQuestion9Header},{Reportviewer:uQuestion9Header}
custom_header.hierarchy_level_four,Hierarchy level four,Hierarchy level four
label.national_id,National id,National id
column.Transaction_Value,Transaction Value,Transaction Value
alert.role_archived,Role archived.,Role archived.
reportsviewheading.Reports_Persmission,Reports Persmission,Reports Persmission
column.Quantity_Redeemed,Quantity Redeemed,Quantity Redeemed
menu_item.settings,Settings,Settings
custom_header.crop3,{DashboardUtil:uCrop3},{DashboardUtil:uCrop3}
view_heading.Location_Hierarchy,Location Hierarchy,Location Hierarchy
reportstableheading.Zanaco_Payment_Report,Zanaco Payment Report,Zanaco Payment Report
view_heading.View_TranslationPair_LangFile,View TranslationPair LangFile,View TranslationPair LangFile
label.template,Template,Template
button.capture,Capture,Capture
sms.voucher_redemption.voucher_already_redeemed,"Dear {fFarmerName}, you have redeemed all the available vouchers for this voucher code {fRequestCode}. Thank you - {fProviderName}.","Dear {fFarmerName}, you have redeemed all the available vouchers for this voucher code {fRequestCode}. Thank you - {fProviderName}."
column_heading.Mobile_Number,Mobile Number,Mobile Number
view_heading.create_role_group,Create role group,Create role group
label.initial_budget,Initial budget,Initial budget
enum.ORDER_STATUS.BankDeposit,Bank Deposit,Bank Deposit
custom_header.Total_Answers,{Reportviewer:uTotalHeader},{Reportviewer:uTotalHeader}
custom_header.Farmers_by_Level4,Farmers by {DashboardUtil:uLevel4},Farmers by {DashboardUtil:uLevel4}
reports_subcounty.Sub-County,Sub-County,Sub-County
button.Assign,Assign,Assign
column_heading.Created,Created,Created
view_heading.inject_message,Inject message,Inject message
table_heading.comments,Comments,Comments
button.refresh,Refresh,Refresh
alert.object.voucher_batch_finalised,Voucher Batch Finalised,Voucher Batch Finalised
alert_error.template_upload,Please remove template data.,Please remove template data.
button_heading.Show_Comments,Show Comments,Show Comments
label.Default_Descriptions,Default Descriptions,Default Descriptions
custom_header.Voucher_Value_Redeemed,Voucher Value Redeemed,Voucher Value Redeemed
reports_balance.Balance_(Bags),Balance (Bags),Balance (Bags)
table_heading.Pending_Orders,Pending Orders,Pending Orders
table_column_heading.location_level_ten,location_level_ten,location_level_ten
sms.sms_opt_out.success,"Dear {fUserName}, you will no longer receive SMSes for {solutionName}.","Dear {fUserName}, you will no longer receive SMSes for {solutionName}."
reports_voucherid.Voucher_ID,Voucher ID,Voucher ID
view_heading.Mobile_User_Details,Mobile User Details,Mobile User Details
sms.registration,"Dear {uUserName}, you have been registered for {solutionName}.","Dear {uUserName}, you have been registered for {solutionName}."
datefield.Start_Date,Start Date,Start Date
select_user,Select User,Select User
label.Voucher_Batch,Voucher Batch,Voucher Batch
view_heading.Manage_fertilizer_template,Manage fertilizer template,Manage fertilizer template
confirmation.reject_bulk_message_body,Do not send these messages?,Do not send these messages?
alert.object.archived,{uObjectName} archived.,{uObjectName} archived.
button_heading.submitComment,Submit,Submit
